Designator,Mid X,Mid Y,Rotation,Layer
D1,68.6525,-66.89,180.0,top
F1,67.8905,-63.207,270.0,top
J1,74.9825,-60.063,180.0,top
J3,75.2425,-70.003,0.0,top
L1,81.9875,-65.874,90.0,top
R1,77.9235,-67.129,270.0,top
R2,71.9545,-67.129,270.0,top
U1,75.0025,-66.0264,0.0,top
